HVH_107_03_000017_000015	犯罪自首
HVH_107_03_000017_000016	一聞拿投首之犯除律不准首及益自
HVH_107_03_000017_000017	首例有正條外其除一切罪犯俱本
HVH_107_03_000017_000018	罪上减一等科断
HVH_107_03_000017_000019	由死罪减發遣盗犯在及中逢
HVH_107_03_000017_000020	被獲例應即行正法者如有畏罪
HVH_107_03_000017_000021	回龜該犯之交兄赴官禀首拿俱准
HVH_107_03_000017_000022	其從寬免死仍發原配地方若准免一
HVH_107_03_000017_000023	火之後復敢脱维自行投回及兄
HVH_107_03_000017_000024	再為首告亦不准宽免
HVH_107_03_000018_000001	二罪俱以重論
HVH_107_03_000018_000002	凡二罪以上俱發以重者論罪各等者從
HVH_107_03_000018_000003	N9R
HVH_107_03_000018_000004	一科斷若一罪先已經論失餘罪後
HVH_107_03_000018_000005	8F
HVH_107_03_000018_000006	發其輕若等勿論重者更論之通計前
HVH_107_03_000018_000007	22
HVH_107_03_000018_000008	R人
HVH_107_03_000018_000009	放一百合贴杖三十如有人節次
HVH_107_03_000018_000010	爱人法贼四十雨两二十雨先已
HVH_107_03_000018_000011	数大十一年二十雨後發合取前
HVH_107_03_000018_000012	不托法瞒及坐赋不通計全科
HVH_107_03_000018_000013	入官物赔刺字官罷職罪止者
HVH_107_03_000018_000014	勿各盡本法
HVH_107_03_000018_000015	科或一仍
HVH_107_03_000018_000016	前一人犯数
HVH_107_03_000018_000017	罪知枉法不
HVH_107_03_000018_000018	法颗合入官兼傷器物合贴信病益
HVH_107_03_000018_000019	合劇字職官罪杖一百以上合羅職
HVH_107_03_000018_000020	皇越律侧卷二名创律下
HVH_107_03_000018_000021	十七
HVH_107_03_000018_000022	二俱必重
HVH_107_03_000018_000023	無禄人不在法贼一百二十雨以上乘
HVH_107_03_000018_000024	征放一百流三千里之類各畫本法
HVH_107_03_000018_000025	新
HVH_107_03_000018_000026	凡犯有二罪以上或三四罪或五六
HVH_107_03_000018_000027	罪先皆未發俱于一时發覺在官
HVH_107_03_000018_000028	除皆勿論若不俱但有一罪先發
HVH_107_03_000018_000029	记春结答放已央徒记流电配
HVH_107_03_000018_000030	面除罪後發助以其後發之罪典先
HVH_107_03_000018_000031	發論失之罪较之如後輕或先
HVH_107_03_000018_000032	後相等则勿論御是上一科斷之
